state_id,id,name,state_id/id,ciudad_id:id
estados_mx.res_country_state_mx_ags,municipio_17,Aguascalientes,estados_mx.res_country_state_mx_ags,ciudad_2
estados_mx.res_country_state_mx_ags,municipio_18,San Francisco de los Romo,estados_mx.res_country_state_mx_ags,ciudad_3
estados_mx.res_country_state_mx_ags,municipio_19,Aguascalientes,estados_mx.res_country_state_mx_ags,
estados_mx.res_country_state_mx_ags,municipio_20,El Llano,estados_mx.res_country_state_mx_ags,
estados_mx.res_country_state_mx_ags,municipio_21,San Francisco de los Romo,estados_mx.res_country_state_mx_ags,
estados_mx.res_country_state_mx_ags,municipio_22,Rincón de Romos,estados_mx.res_country_state_mx_ags,ciudad_4
estados_mx.res_country_state_mx_ags,municipio_23,Rincón de Romos,estados_mx.res_country_state_mx_ags,
estados_mx.res_country_state_mx_ags,municipio_24,Cosío,estados_mx.res_country_state_mx_ags,ciudad_5
estados_mx.res_country_state_mx_ags,municipio_25,Cosío,estados_mx.res_country_state_mx_ags,
estados_mx.res_country_state_mx_ags,municipio_26,San José de Gracia,estados_mx.res_country_state_mx_ags,
estados_mx.res_country_state_mx_ags,municipio_27,Tepezalá,estados_mx.res_country_state_mx_ags,ciudad_6
estados_mx.res_country_state_mx_ags,municipio_28,Tepezalá,estados_mx.res_country_state_mx_ags,
estados_mx.res_country_state_mx_ags,municipio_29,Pabellón de Arteaga,estados_mx.res_country_state_mx_ags,
estados_mx.res_country_state_mx_ags,municipio_30,Pabellón de Arteaga,estados_mx.res_country_state_mx_ags,ciudad_7
estados_mx.res_country_state_mx_ags,municipio_31,Asientos,estados_mx.res_country_state_mx_ags,
estados_mx.res_country_state_mx_ags,municipio_32,Asientos,estados_mx.res_country_state_mx_ags,ciudad_8
estados_mx.res_country_state_mx_ags,municipio_33,Calvillo,estados_mx.res_country_state_mx_ags,ciudad_9
estados_mx.res_country_state_mx_ags,municipio_34,Calvillo,estados_mx.res_country_state_mx_ags,
estados_mx.res_country_state_mx_ags,municipio_35,Jesús María,estados_mx.res_country_state_mx_ags,
estados_mx.res_country_state_mx_ags,municipio_36,Jesús María,estados_mx.res_country_state_mx_ags,ciudad_10
estados_mx.res_country_state_mx_bc,municipio_37,Mexicali,estados_mx.res_country_state_mx_bc,ciudad_11
estados_mx.res_country_state_mx_bc,municipio_38,Tecate,estados_mx.res_country_state_mx_bc,ciudad_12
estados_mx.res_country_state_mx_bc,municipio_39,Tecate,estados_mx.res_country_state_mx_bc,
estados_mx.res_country_state_mx_bc,municipio_40,Mexicali,estados_mx.res_country_state_mx_bc,
estados_mx.res_country_state_mx_bc,municipio_41,Mexicali,estados_mx.res_country_state_mx_bc,ciudad_13
estados_mx.res_country_state_mx_bc,municipio_42,Tijuana,estados_mx.res_country_state_mx_bc,ciudad_14
estados_mx.res_country_state_mx_bc,municipio_43,Playas de Rosarito,estados_mx.res_country_state_mx_bc,ciudad_15
estados_mx.res_country_state_mx_bc,municipio_44,Tijuana,estados_mx.res_country_state_mx_bc,
estados_mx.res_country_state_mx_bc,municipio_45,Playas de Rosarito,estados_mx.res_country_state_mx_bc,
estados_mx.res_country_state_mx_bc,municipio_46,Ensenada,estados_mx.res_country_state_mx_bc,
estados_mx.res_country_state_mx_bc,municipio_47,Ensenada,estados_mx.res_country_state_mx_bc,ciudad_16
estados_mx.res_country_state_mx_bc,municipio_48,Ensenada,estados_mx.res_country_state_mx_bc,ciudad_17
estados_mx.res_country_state_mx_bcs,municipio_49,La Paz,estados_mx.res_country_state_mx_bcs,ciudad_18
estados_mx.res_country_state_mx_bcs,municipio_50,La Paz,estados_mx.res_country_state_mx_bcs,
estados_mx.res_country_state_mx_bcs,municipio_51,La Paz,estados_mx.res_country_state_mx_bcs,ciudad_19
estados_mx.res_country_state_mx_bcs,municipio_52,Los Cabos,estados_mx.res_country_state_mx_bcs,ciudad_20
estados_mx.res_country_state_mx_bcs,municipio_53,Los Cabos,estados_mx.res_country_state_mx_bcs,ciudad_21
estados_mx.res_country_state_mx_bcs,municipio_54,Los Cabos,estados_mx.res_country_state_mx_bcs,
estados_mx.res_country_state_mx_bcs,municipio_55,Comondú,estados_mx.res_country_state_mx_bcs,ciudad_22
estados_mx.res_country_state_mx_bcs,municipio_56,Comondú,estados_mx.res_country_state_mx_bcs,
estados_mx.res_country_state_mx_bcs,municipio_57,Comondú,estados_mx.res_country_state_mx_bcs,ciudad_23
estados_mx.res_country_state_mx_bcs,municipio_58,Loreto,estados_mx.res_country_state_mx_bcs,ciudad_24
estados_mx.res_country_state_mx_bcs,municipio_59,Loreto,estados_mx.res_country_state_mx_bcs,
estados_mx.res_country_state_mx_bcs,municipio_60,Mulegé,estados_mx.res_country_state_mx_bcs,ciudad_25
estados_mx.res_country_state_mx_bcs,municipio_61,Mulegé,estados_mx.res_country_state_mx_bcs,
estados_mx.res_country_state_mx_bcs,municipio_62,Mulegé,estados_mx.res_country_state_mx_bcs,ciudad_26
estados_mx.res_country_state_mx_bcs,municipio_63,Mulegé,estados_mx.res_country_state_mx_bcs,ciudad_27
estados_mx.res_country_state_mx_bcs,municipio_64,Mulegé,estados_mx.res_country_state_mx_bcs,ciudad_28
estados_mx.res_country_state_mx_camp,municipio_65,Campeche,estados_mx.res_country_state_mx_camp,ciudad_29
estados_mx.res_country_state_mx_camp,municipio_66,Carmen,estados_mx.res_country_state_mx_camp,ciudad_30
estados_mx.res_country_state_mx_camp,municipio_67,Palizada,estados_mx.res_country_state_mx_camp,
estados_mx.res_country_state_mx_camp,municipio_68,Carmen,estados_mx.res_country_state_mx_camp,ciudad_31
estados_mx.res_country_state_mx_camp,municipio_69,Carmen,estados_mx.res_country_state_mx_camp,
estados_mx.res_country_state_mx_camp,municipio_70,Candelaria,estados_mx.res_country_state_mx_camp,ciudad_32
estados_mx.res_country_state_mx_camp,municipio_71,Candelaria,estados_mx.res_country_state_mx_camp,
estados_mx.res_country_state_mx_camp,municipio_72,Escárcega,estados_mx.res_country_state_mx_camp,ciudad_33
estados_mx.res_country_state_mx_camp,municipio_73,Escárcega,estados_mx.res_country_state_mx_camp,
estados_mx.res_country_state_mx_camp,municipio_74,Champotón,estados_mx.res_country_state_mx_camp,ciudad_34
estados_mx.res_country_state_mx_camp,municipio_75,Champotón,estados_mx.res_country_state_mx_camp,
estados_mx.res_country_state_mx_camp,municipio_76,Campeche,estados_mx.res_country_state_mx_camp,
estados_mx.res_country_state_mx_camp,municipio_77,Hopelchén,estados_mx.res_country_state_mx_camp,ciudad_35
estados_mx.res_country_state_mx_camp,municipio_78,Hopelchén,estados_mx.res_country_state_mx_camp,
estados_mx.res_country_state_mx_camp,municipio_79,Calakmul,estados_mx.res_country_state_mx_camp,
estados_mx.res_country_state_mx_camp,municipio_80,Tenabo,estados_mx.res_country_state_mx_camp,
estados_mx.res_country_state_mx_camp,municipio_81,Hecelchakán,estados_mx.res_country_state_mx_camp,ciudad_36
estados_mx.res_country_state_mx_camp,municipio_82,Hecelchakán,estados_mx.res_country_state_mx_camp,ciudad_37
estados_mx.res_country_state_mx_camp,municipio_83,Hecelchakán,estados_mx.res_country_state_mx_camp,
estados_mx.res_country_state_mx_camp,municipio_84,Calkiní,estados_mx.res_country_state_mx_camp,ciudad_38
estados_mx.res_country_state_mx_camp,municipio_85,Calkiní,estados_mx.res_country_state_mx_camp,
estados_mx.res_country_state_mx_chih,municipio_306,Chihuahua,estados_mx.res_country_state_mx_chih,ciudad_93
estados_mx.res_country_state_mx_chih,municipio_307,Cuauhtémoc,estados_mx.res_country_state_mx_chih,ciudad_94
estados_mx.res_country_state_mx_chih,municipio_308,Cuauhtémoc,estados_mx.res_country_state_mx_chih,ciudad_95
estados_mx.res_country_state_mx_chih,municipio_309,Cuauhtémoc,estados_mx.res_country_state_mx_chih,
estados_mx.res_country_state_mx_chih,municipio_310,Chihuahua,estados_mx.res_country_state_mx_chih,
estados_mx.res_country_state_mx_chih,municipio_311,Riva Palacio,estados_mx.res_country_state_mx_chih,
estados_mx.res_country_state_mx_chih,municipio_312,Aquiles Serdán,estados_mx.res_country_state_mx_chih,
estados_mx.res_country_state_mx_chih,municipio_313,Bachíniva,estados_mx.res_country_state_mx_chih,ciudad_96
estados_mx.res_country_state_mx_chih,municipio_314,Bachíniva,estados_mx.res_country_state_mx_chih,
estados_mx.res_country_state_mx_chih,municipio_315,Guerrero,estados_mx.res_country_state_mx_chih,
estados_mx.res_country_state_mx_chih,municipio_316,Nuevo Casas Grandes,estados_mx.res_country_state_mx_chih,ciudad_97
estados_mx.res_country_state_mx_chih,municipio_317,Nuevo Casas Grandes,estados_mx.res_country_state_mx_chih,
estados_mx.res_country_state_mx_chih,municipio_318,Ascensión,estados_mx.res_country_state_mx_chih,
estados_mx.res_country_state_mx_chih,municipio_319,Janos,estados_mx.res_country_state_mx_chih,
estados_mx.res_country_state_mx_chih,municipio_320,Casas Grandes,estados_mx.res_country_state_mx_chih,
estados_mx.res_country_state_mx_chih,municipio_321,Galeana,estados_mx.res_country_state_mx_chih,
estados_mx.res_country_state_mx_chih,municipio_322,Buenaventura,estados_mx.res_country_state_mx_chih,
estados_mx.res_country_state_mx_chih,municipio_323,Gómez Farías,estados_mx.res_country_state_mx_chih,
estados_mx.res_country_state_mx_chih,municipio_324,Ignacio Zaragoza,estados_mx.res_country_state_mx_chih,
