id,name,state_id/id
ciudad_64,Tecoman,cfd_mx.res_country_state_mx_col
ciudad_1,Ciudad de México,cfd_mx.res_country_state_mx_df
ciudad_108,Canatlán,cfd_mx.res_country_state_mx_dgo
ciudad_117,Ciudad Lerdo,cfd_mx.res_country_state_mx_dgo
ciudad_115,El Salto,cfd_mx.res_country_state_mx_dgo
ciudad_112,Francisco I. Madero,cfd_mx.res_country_state_mx_dgo
ciudad_116,Gómez Palacio,cfd_mx.res_country_state_mx_dgo
ciudad_113,Nombre de Dios,cfd_mx.res_country_state_mx_dgo
ciudad_111,Peñón Blanco,cfd_mx.res_country_state_mx_dgo
ciudad_109,San Juan del Río del Centauro del Norte,cfd_mx.res_country_state_mx_dgo
ciudad_118,Santa María del Oro,cfd_mx.res_country_state_mx_dgo
ciudad_110,Santiago Papasquiaro,cfd_mx.res_country_state_mx_dgo
ciudad_114,Vicente Guerrero,cfd_mx.res_country_state_mx_dgo
ciudad_107,Victoria de Durango,cfd_mx.res_country_state_mx_dgo
ciudad_161,Acapulco de Juárez,cfd_mx.res_country_state_mx_gro
ciudad_171,Arcelia,cfd_mx.res_country_state_mx_gro
ciudad_183,Atoyac de Álvarez,cfd_mx.res_country_state_mx_gro
ciudad_160,Ayutla de los Libres,cfd_mx.res_country_state_mx_gro
ciudad_194,Azoyú,cfd_mx.res_country_state_mx_gro
ciudad_169,Buenavista de Cuellar,cfd_mx.res_country_state_mx_gro
ciudad_187,Chilapa de Álvarez,cfd_mx.res_country_state_mx_gro
ciudad_157,Chilpancingo de los Bravo,cfd_mx.res_country_state_mx_gro
ciudad_175,Ciudad Altamirano,cfd_mx.res_country_state_mx_gro
ciudad_172,Ciudad Apaxtla de Castrejón,cfd_mx.res_country_state_mx_gro
ciudad_193,Copala,cfd_mx.res_country_state_mx_gro
ciudad_185,Coyuca de Benítez,cfd_mx.res_country_state_mx_gro
ciudad_176,Coyuca de Catalán,cfd_mx.res_country_state_mx_gro
ciudad_192,Cruz Grande,cfd_mx.res_country_state_mx_gro
ciudad_196,Cuajinicuilapa,cfd_mx.res_country_state_mx_gro
ciudad_174,Cutzamala de Pinzón,cfd_mx.res_country_state_mx_gro
ciudad_188,Huamuxtitlan,cfd_mx.res_country_state_mx_gro
ciudad_165,Huitzuco,cfd_mx.res_country_state_mx_gro
ciudad_164,Iguala de la Independencia,cfd_mx.res_country_state_mx_gro
ciudad_177,La Unión,cfd_mx.res_country_state_mx_gro
ciudad_195,Marquelia,cfd_mx.res_country_state_mx_gro
ciudad_158,Ocotito,cfd_mx.res_country_state_mx_gro
ciudad_186,Olinalá,cfd_mx.res_country_state_mx_gro
ciudad_178,Petatlán,cfd_mx.res_country_state_mx_gro
ciudad_184,San Jerónimo de Juárez,cfd_mx.res_country_state_mx_gro
ciudad_191,San Luis Acatlán,cfd_mx.res_country_state_mx_gro
ciudad_182,San Luis de la Loma,cfd_mx.res_country_state_mx_gro
ciudad_181,San Luis San Pedro,cfd_mx.res_country_state_mx_gro
ciudad_163,San Marcos,cfd_mx.res_country_state_mx_gro
ciudad_168,Taxco de Alarcón,cfd_mx.res_country_state_mx_gro
ciudad_180,Técpan de Galeana,cfd_mx.res_country_state_mx_gro
ciudad_170,Teloloapan,cfd_mx.res_country_state_mx_gro
ciudad_166,Tepecoacuilco de Trujano,cfd_mx.res_country_state_mx_gro
ciudad_162,Tierra Colorada,cfd_mx.res_country_state_mx_gro
ciudad_159,Tixtla de Guerrero,cfd_mx.res_country_state_mx_gro
ciudad_190,Tlalixtaquilla,cfd_mx.res_country_state_mx_gro
ciudad_189,Tlapa de Comonfort,cfd_mx.res_country_state_mx_gro
ciudad_173,Tlapehuala,cfd_mx.res_country_state_mx_gro
ciudad_179,Zihuatanejo,cfd_mx.res_country_state_mx_gro
ciudad_167,Zumpango del Río,cfd_mx.res_country_state_mx_gro
ciudad_130,Abasolo,cfd_mx.res_country_state_mx_gto
ciudad_150,Acámbaro,cfd_mx.res_country_state_mx_gto
ciudad_148,Apaseo el Alto,cfd_mx.res_country_state_mx_gto
ciudad_140,Apaseo el Grande,cfd_mx.res_country_state_mx_gto
ciudad_138,Celaya,cfd_mx.res_country_state_mx_gto
ciudad_125,Ciudad Manuel Doblado,cfd_mx.res_country_state_mx_gto
ciudad_141,Comonfort,cfd_mx.res_country_state_mx_gto
ciudad_145,Cortazar,cfd_mx.res_country_state_mx_gto
ciudad_129,Cuerámaro,cfd_mx.res_country_state_mx_gto
ciudad_136,Doctor Mora,cfd_mx.res_country_state_mx_gto
ciudad_142,Empalme Escobedo (Escobedo),cfd_mx.res_country_state_mx_gto
ciudad_119,Guanajuato,cfd_mx.res_country_state_mx_gto
ciudad_131,Huanímaro,cfd_mx.res_country_state_mx_gto
ciudad_126,Irapuato,cfd_mx.res_country_state_mx_gto
ciudad_147,Jaral del Progreso,cfd_mx.res_country_state_mx_gto
ciudad_149,Jerécuaro,cfd_mx.res_country_state_mx_gto
ciudad_132,León de los Aldama,cfd_mx.res_country_state_mx_gto
ciudad_122,Marfil,cfd_mx.res_country_state_mx_gto
ciudad_152,Moroleón,cfd_mx.res_country_state_mx_gto
ciudad_128,Pénjamo,cfd_mx.res_country_state_mx_gto
ciudad_124,Purísima de Bustos,cfd_mx.res_country_state_mx_gto
ciudad_139,Rincón de Tamayo,cfd_mx.res_country_state_mx_gto
ciudad_121,Romita,cfd_mx.res_country_state_mx_gto
ciudad_127,Salamanca,cfd_mx.res_country_state_mx_gto
ciudad_153,Salvatierra,cfd_mx.res_country_state_mx_gto
ciudad_134,San Diego de la Unión,cfd_mx.res_country_state_mx_gto
ciudad_123,San Francisco del Rincón,cfd_mx.res_country_state_mx_gto
ciudad_137,San José Iturbide,cfd_mx.res_country_state_mx_gto
ciudad_135,San Luis de la Paz,cfd_mx.res_country_state_mx_gto
ciudad_133,San miguel de Allende,cfd_mx.res_country_state_mx_gto
ciudad_143,Santa Cruz Juventino Rosas,cfd_mx.res_country_state_mx_gto
ciudad_155,Santiago Maravatío,cfd_mx.res_country_state_mx_gto
ciudad_120,Silao,cfd_mx.res_country_state_mx_gto
ciudad_151,Tarandacuao,cfd_mx.res_country_state_mx_gto
ciudad_156,Uriangato,cfd_mx.res_country_state_mx_gto
ciudad_146,Valle de Santiago,cfd_mx.res_country_state_mx_gto
ciudad_144,Villagrán,cfd_mx.res_country_state_mx_gto
ciudad_154,Yuriria,cfd_mx.res_country_state_mx_gto
ciudad_200,Actopan,cfd_mx.res_country_state_mx_hgo
ciudad_209,Apan,cfd_mx.res_country_state_mx_hgo
ciudad_211,Ciudad de Fray Bernardino de Sahagún,cfd_mx.res_country_state_mx_hgo
ciudad_202,Cruz Azul,cfd_mx.res_country_state_mx_hgo
ciudad_205,Huejutla de Reyes,cfd_mx.res_country_state_mx_hgo
ciudad_198,Ixmiquilpan,cfd_mx.res_country_state_mx_hgo
ciudad_197,Pachuca de Soto,cfd_mx.res_country_state_mx_hgo
ciudad_207,Santiago Tulantepec,cfd_mx.res_country_state_mx_hgo
ciudad_210,Tepeapulco,cfd_mx.res_country_state_mx_hgo
ciudad_203,Tepeji del Rio,cfd_mx.res_country_state_mx_hgo
ciudad_208,Tizayuca,cfd_mx.res_country_state_mx_hgo
ciudad_204,Tlaxcoapan,cfd_mx.res_country_state_mx_hgo
ciudad_201,Tula de Allende,cfd_mx.res_country_state_mx_hgo
ciudad_206,Tulancingo,cfd_mx.res_country_state_mx_hgo
ciudad_199,Zimapan,cfd_mx.res_country_state_mx_hgo
ciudad_221,Acatlán de Juárez,cfd_mx.res_country_state_mx_jal
ciudad_234,Ahualulco de Mercado,cfd_mx.res_country_state_mx_jal
ciudad_226,Ajijic,cfd_mx.res_country_state_mx_jal
ciudad_233,Ameca,cfd_mx.res_country_state_mx_jal
ciudad_239,Arandas,cfd_mx.res_country_state_mx_jal
ciudad_250,Atotonilco el Alto,cfd_mx.res_country_state_mx_jal
ciudad_258,Autlán de Navarro,cfd_mx.res_country_state_mx_jal
ciudad_225,Chapala,cfd_mx.res_country_state_mx_jal
ciudad_260,Cihuatlán,cfd_mx.res_country_state_mx_jal
ciudad_261,Ciudad Guzmán,cfd_mx.res_country_state_mx_jal
ciudad_256,Cocula,cfd_mx.res_country_state_mx_jal
ciudad_229,Colotlán,cfd_mx.res_country_state_mx_jal
ciudad_257,El Grullo,cfd_mx.res_country_state_mx_jal
ciudad_220,El Quince (San José el Quince),cfd_mx.res_country_state_mx_jal
ciudad_232,Etzatlán,cfd_mx.res_country_state_mx_jal
ciudad_212,Guadalajara,cfd_mx.res_country_state_mx_jal
ciudad_228,Huejuquilla el Alto,cfd_mx.res_country_state_mx_jal
ciudad_236,Jalostotitlán,cfd_mx.res_country_state_mx_jal
ciudad_252,Jamay,cfd_mx.res_country_state_mx_jal
ciudad_224,Jocotepec,cfd_mx.res_country_state_mx_jal
ciudad_253,La Barca,cfd_mx.res_country_state_mx_jal
ciudad_259,La Resolana,cfd_mx.res_country_state_mx_jal
ciudad_245,Lagos de Moreno,cfd_mx.res_country_state_mx_jal
ciudad_218,Las Pintitas,cfd_mx.res_country_state_mx_jal
ciudad_231,Magdalena,cfd_mx.res_country_state_mx_jal
ciudad_251,Ocotlán,cfd_mx.res_country_state_mx_jal
ciudad_227,Poncitlán,cfd_mx.res_country_state_mx_jal
ciudad_255,Puerto Vallarta,cfd_mx.res_country_state_mx_jal
ciudad_247,San Diego de Alejandría,cfd_mx.res_country_state_mx_jal
ciudad_240,San Ignacio Cerro Gordo,cfd_mx.res_country_state_mx_jal
ciudad_219,San José el Verde (El Verde),cfd_mx.res_country_state_mx_jal
ciudad_235,San Juan de los Lagos,cfd_mx.res_country_state_mx_jal
ciudad_238,San Julián,cfd_mx.res_country_state_mx_jal
ciudad_237,San Miguel el Alto,cfd_mx.res_country_state_mx_jal
ciudad_262,Sayula,cfd_mx.res_country_state_mx_jal
ciudad_214,Tala,cfd_mx.res_country_state_mx_jal
ciudad_254,Talpa de Allende,cfd_mx.res_country_state_mx_jal
ciudad_264,Tamazula de Gordiano,cfd_mx.res_country_state_mx_jal
ciudad_266,Tecalitlán,cfd_mx.res_country_state_mx_jal
ciudad_241,Teocaltiche,cfd_mx.res_country_state_mx_jal
ciudad_248,Tepatitlán de Morelos,cfd_mx.res_country_state_mx_jal
ciudad_230,Tequila,cfd_mx.res_country_state_mx_jal
ciudad_217,Tlajomulco de Zúñiga,cfd_mx.res_country_state_mx_jal
ciudad_216,Tlaquepaque,cfd_mx.res_country_state_mx_jal
ciudad_215,Tonalá,cfd_mx.res_country_state_mx_jal
ciudad_249,Tototlán,cfd_mx.res_country_state_mx_jal
ciudad_265,Tuxpan,cfd_mx.res_country_state_mx_jal
ciudad_246,Unión de San Antonio,cfd_mx.res_country_state_mx_jal
ciudad_244,Valle de Guadalupe,cfd_mx.res_country_state_mx_jal
ciudad_222,Villa Corona,cfd_mx.res_country_state_mx_jal
ciudad_242,Villa Hidalgo,cfd_mx.res_country_state_mx_jal
ciudad_243,Yahualica de González Gallo,cfd_mx.res_country_state_mx_jal
ciudad_223,Zacoalco de Torres,cfd_mx.res_country_state_mx_jal
ciudad_213,Zapopan,cfd_mx.res_country_state_mx_jal
ciudad_263,Zapotiltic,cfd_mx.res_country_state_mx_jal
ciudad_268,Almoloya de Juárez,cfd_mx.res_country_state_mx_mex
ciudad_270,Amatepec,cfd_mx.res_country_state_mx_mex
ciudad_274,Capulhuac,cfd_mx.res_country_state_mx_mex
ciudad_298,Chalco de Díaz Covarrubias,cfd_mx.res_country_state_mx_mex
ciudad_293,Chiconcuac,cfd_mx.res_country_state_mx_mex
ciudad_294,Chimalhuacán,cfd_mx.res_country_state_mx_mex
ciudad_277,Ciudad Adolfo López Mateos,cfd_mx.res_country_state_mx_mex
ciudad_301,Ciudad Nezahualcoyotl,cfd_mx.res_country_state_mx_mex
ciudad_290,Coacalco de Berriozabal,cfd_mx.res_country_state_mx_mex
ciudad_283,Cuautitlán,cfd_mx.res_country_state_mx_mex
ciudad_282,Cuautitlán Izcalli,cfd_mx.res_country_state_mx_mex
ciudad_287,Ecatepec de Morelos,cfd_mx.res_country_state_mx_mex
ciudad_276,Huixquilucan de Degollado,cfd_mx.res_country_state_mx_mex
ciudad_297,Ixtapaluca,cfd_mx.res_country_state_mx_mex
ciudad_300,Juchitepec de Mariano Riva Palacio,cfd_mx.res_country_state_mx_mex
ciudad_296,Los Reyes Acaquilpan (La Paz),cfd_mx.res_country_state_mx_mex
ciudad_284,Melchor Ocampo,cfd_mx.res_country_state_mx_mex
ciudad_273,Metepec,cfd_mx.res_country_state_mx_mex
ciudad_278,Naucalpan de Juárez,cfd_mx.res_country_state_mx_mex
ciudad_275,Ocoyoacac,cfd_mx.res_country_state_mx_mex
ciudad_272,San Mateo Atenco,cfd_mx.res_country_state_mx_mex
ciudad_295,San Vicente Chicoloapan de Juárez,cfd_mx.res_country_state_mx_mex
ciudad_286,Santa Maria Tultepec,cfd_mx.res_country_state_mx_mex
ciudad_291,Tecamac de Felipe Villanueva,cfd_mx.res_country_state_mx_mex
ciudad_269,Tejupilco de Hidalgo,cfd_mx.res_country_state_mx_mex
ciudad_281,Tepotzotlán,cfd_mx.res_country_state_mx_mex
ciudad_289,Tequixquiac,cfd_mx.res_country_state_mx_mex
ciudad_292,Texcoco de Mora,cfd_mx.res_country_state_mx_mex
ciudad_279,Tlalnepantla de Baz,cfd_mx.res_country_state_mx_mex
ciudad_267,Toluca de Lerdo,cfd_mx.res_country_state_mx_mex
ciudad_285,Tultitlán de Mariano Escobedo,cfd_mx.res_country_state_mx_mex
ciudad_299,Valle de Chalco Solidaridad,cfd_mx.res_country_state_mx_mex
ciudad_280,Villa Nicolás Romero,cfd_mx.res_country_state_mx_mex
ciudad_271,Xonacatlán,cfd_mx.res_country_state_mx_mex
ciudad_288,Zumpango,cfd_mx.res_country_state_mx_mex
ciudad_318,Apatzingán de la Constitución,cfd_mx.res_country_state_mx_mich
ciudad_321,Ciudad Hidalgo,cfd_mx.res_country_state_mx_mich
ciudad_319,Ciudad Lázaro Cárdenas,cfd_mx.res_country_state_mx_mich
ciudad_314,Cotija de la Paz,cfd_mx.res_country_state_mx_mich
ciudad_305,Cuitzeo del Porvenir,cfd_mx.res_country_state_mx_mich
ciudad_324,Heroica Zitácuaro,cfd_mx.res_country_state_mx_mich
ciudad_328,Huetamo de Núñez,cfd_mx.res_country_state_mx_mich
ciudad_313,Jacona de Plancarte,cfd_mx.res_country_state_mx_mich
ciudad_310,Jiquilpan de Juárez,cfd_mx.res_country_state_mx_mich
ciudad_309,La piedad de Cabadas,cfd_mx.res_country_state_mx_mich
ciudad_320,Las Guacamayas,cfd_mx.res_country_state_mx_mich
ciudad_317,Los Reyes de Salgado,cfd_mx.res_country_state_mx_mich
ciudad_322,Maravatío de Ocampo,cfd_mx.res_country_state_mx_mich
ciudad_302,Morelia,cfd_mx.res_country_state_mx_mich
ciudad_327,Nueva Italia de Ruiz,cfd_mx.res_country_state_mx_mich
ciudad_316,Paracho de Verduzco,cfd_mx.res_country_state_mx_mich
ciudad_325,Pátzcuaro,cfd_mx.res_country_state_mx_mich
ciudad_303,Puruándiro,cfd_mx.res_country_state_mx_mich
ciudad_307,Sahuayo de Morelos,cfd_mx.res_country_state_mx_mich
ciudad_326,Tacámbaro de Codallos,cfd_mx.res_country_state_mx_mich
ciudad_312,Tangancícuaro de Arista,cfd_mx.res_country_state_mx_mich
ciudad_323,Tuxpan,cfd_mx.res_country_state_mx_mich
ciudad_315,Uruapan,cfd_mx.res_country_state_mx_mich
ciudad_308,Yurécuaro,cfd_mx.res_country_state_mx_mich
ciudad_304,Zacapu,cfd_mx.res_country_state_mx_mich
ciudad_311,Zamora de Hidalgo,cfd_mx.res_country_state_mx_mich
ciudad_306,Zinapécuaro de Figueroa,cfd_mx.res_country_state_mx_mich
ciudad_331,Cuautla (Cuautla de Morelos),cfd_mx.res_country_state_mx_mor
ciudad_329,Cuernavaca,cfd_mx.res_country_state_mx_mor
ciudad_334,Galeana,cfd_mx.res_country_state_mx_mor
ciudad_335,Jojutla,cfd_mx.res_country_state_mx_mor
ciudad_330,Puente de Ixtla,cfd_mx.res_country_state_mx_mor
ciudad_332,Santa Rosa Treinta,cfd_mx.res_country_state_mx_mor
ciudad_336,Tlaquiltenango,cfd_mx.res_country_state_mx_mor
ciudad_333,Zacatepec de Hidalgo,cfd_mx.res_country_state_mx_mor
ciudad_340,Acaponeta,cfd_mx.res_country_state_mx_nay
ciudad_353,Ahuacatlán,cfd_mx.res_country_state_mx_nay
ciudad_348,Bucerías,cfd_mx.res_country_state_mx_nay
ciudad_345,Compostela,cfd_mx.res_country_state_mx_nay
ciudad_342,Francisco I. Madero (Puga),cfd_mx.res_country_state_mx_nay
ciudad_354,Ixtlán del Río,cfd_mx.res_country_state_mx_nay
ciudad_352,Jala,cfd_mx.res_country_state_mx_nay
ciudad_347,La peñita de Jaltemba,cfd_mx.res_country_state_mx_nay
ciudad_346,Las Varas,cfd_mx.res_country_state_mx_nay
ciudad_344,Ruiz,cfd_mx.res_country_state_mx_nay
ciudad_349,San Blas,cfd_mx.res_country_state_mx_nay
ciudad_351,San pedro Lagunillas,cfd_mx.res_country_state_mx_nay
ciudad_339,Santiago Ixcuintla,cfd_mx.res_country_state_mx_nay
ciudad_341,Tecuala,cfd_mx.res_country_state_mx_nay
ciudad_337,Tepic,cfd_mx.res_country_state_mx_nay
ciudad_338,Tuxpan,cfd_mx.res_country_state_mx_nay
ciudad_343,Villa Hidalgo (El Nuevo),cfd_mx.res_country_state_mx_nay
ciudad_350,Xalisco,cfd_mx.res_country_state_mx_nay
ciudad_356,Anáhuac,cfd_mx.res_country_state_mx_nl
ciudad_369,Cadereyta Jiménez,cfd_mx.res_country_state_mx_nl
ciudad_358,Ciénega de Flores,cfd_mx.res_country_state_mx_nl
ciudad_364,Ciudad Apodaca,cfd_mx.res_country_state_mx_nl
ciudad_366,Ciudad Benito Juárez,cfd_mx.res_country_state_mx_nl
ciudad_360,Ciudad General Escobedo,cfd_mx.res_country_state_mx_nl
ciudad_357,Ciudad Sabinas Hidalgo,cfd_mx.res_country_state_mx_nl
ciudad_361,Ciudad Santa Catarina,cfd_mx.res_country_state_mx_nl
ciudad_373,Doctor Arroyo,cfd_mx.res_country_state_mx_nl
ciudad_368,El cercado,cfd_mx.res_country_state_mx_nl
ciudad_359,García,cfd_mx.res_country_state_mx_nl
ciudad_365,Guadalupe,cfd_mx.res_country_state_mx_nl
ciudad_372,Hualahuises,cfd_mx.res_country_state_mx_nl
ciudad_371,Linares,cfd_mx.res_country_state_mx_nl
ciudad_370,Montemorelos,cfd_mx.res_country_state_mx_nl
ciudad_355,Monterrey,cfd_mx.res_country_state_mx_nl
ciudad_363,San Nicolás de los Garza,cfd_mx.res_country_state_mx_nl
ciudad_362,San Pedro Garza García,cfd_mx.res_country_state_mx_nl
ciudad_367,Santiago,cfd_mx.res_country_state_mx_nl
ciudad_390,Asunción Nochixtlán,cfd_mx.res_country_state_mx_oax
ciudad_412,Bahias de Huatulco,cfd_mx.res_country_state_mx_oax
ciudad_399,Chahuites,cfd_mx.res_country_state_mx_oax
ciudad_395,Ciudad Ixtepec,cfd_mx.res_country_state_mx_oax
ciudad_380,Cosolapa,cfd_mx.res_country_state_mx_oax
ciudad_421,Cuilápam de Guerrero,cfd_mx.res_country_state_mx_oax
ciudad_405,El Camarón,cfd_mx.res_country_state_mx_oax
ciudad_420,El Rosario,cfd_mx.res_country_state_mx_oax
ciudad_423,Heroica Ciudad de Ejutla de Crespo,cfd_mx.res_country_state_mx_oax
ciudad_387,Heroica Ciudad de Huajuapan de León,cfd_mx.res_country_state_mx_oax
ciudad_393,Heroica Ciudad de Tlaxiaco,cfd_mx.res_country_state_mx_oax
ciudad_394,Juchitán (Juchitán de Zaragoza),cfd_mx.res_country_state_mx_oax
ciudad_401,Lagunas,cfd_mx.res_country_state_mx_oax
ciudad_379,Loma Bonita,cfd_mx.res_country_state_mx_oax
ciudad_388,Mariscala de Juárez,cfd_mx.res_country_state_mx_oax
ciudad_400,Matías Romero Avendaño,cfd_mx.res_country_state_mx_oax
ciudad_409,Miahuatlán de Porfirio Díaz,cfd_mx.res_country_state_mx_oax
ciudad_386,Natividad,cfd_mx.res_country_state_mx_oax
ciudad_374,Oaxaca de Juárez,cfd_mx.res_country_state_mx_oax
ciudad_424,Ocotlán de Morelos,cfd_mx.res_country_state_mx_oax
ciudad_430,Puerto Escondido,cfd_mx.res_country_state_mx_oax
ciudad_413,Putla Villa de Guerrero,cfd_mx.res_country_state_mx_oax
ciudad_429,Río Grande o Piedra Parada,cfd_mx.res_country_state_mx_oax
ciudad_406,Salina Cruz,cfd_mx.res_country_state_mx_oax
ciudad_418,San Antonio de la Cal,cfd_mx.res_country_state_mx_oax
ciudad_408,San Blas Atempa,cfd_mx.res_country_state_mx_oax
ciudad_382,San Felipe Jalapa de Díaz,cfd_mx.res_country_state_mx_oax
ciudad_397,San Francisco Ixhuatán,cfd_mx.res_country_state_mx_oax
ciudad_375,San Francisco Telixtlahuaca,cfd_mx.res_country_state_mx_oax
ciudad_385,San Juan Bautista Cuicatlán,cfd_mx.res_country_state_mx_oax
ciudad_427,San Juan Bautista lo de Soto,cfd_mx.res_country_state_mx_oax
ciudad_378,San Juan Bautista Tuxtepec,cfd_mx.res_country_state_mx_oax
ciudad_383,San Juan Bautista Valle Nacional,cfd_mx.res_country_state_mx_oax
ciudad_426,San Juan Cacahuatepec,cfd_mx.res_country_state_mx_oax
ciudad_414,San Miguel el Grande,cfd_mx.res_country_state_mx_oax
ciudad_376,San Pablo Huitzo,cfd_mx.res_country_state_mx_oax
ciudad_403,San Pablo Villa de Mitla,cfd_mx.res_country_state_mx_oax
ciudad_431,San Pedro Mixtepec -Dto. 22-,cfd_mx.res_country_state_mx_oax
ciudad_410,San Pedro Pochutla,cfd_mx.res_country_state_mx_oax
ciudad_398,San Pedro Tapanatepec,cfd_mx.res_country_state_mx_oax
ciudad_404,San Pedro Totolapa,cfd_mx.res_country_state_mx_oax
ciudad_392,San Sebastián Tecomaxtlahuaca,cfd_mx.res_country_state_mx_oax
